classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd,classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
1 vs 7,98.77 (92.65),98.70 (89.80),92.16 (88.50),96.63 (92.55),1 vs 7,77.20 (63.06),88.90 (62.69),95.10 (61.12),100.00 (63.50)
1 vs 8,93.73 (87.40),96.20 (86.35),89.44 (84.10),93.50 (86.95),1 vs 8,97.70 (89.94),97.20 (88.50),97.00 (87.81),100.00 (90.12)
1 vs 9,88.31 (77.50),91.02 (76.20),78.70 (70.75),85.33 (76.60),1 vs 9,98.20 (87.50),95.90 (85.62),97.80 (85.62),100.00 (88.69)
2 vs 3,86.88 (77.20),87.00 (75.95),83.73 (74.90),84.73 (77.65),2 vs 3,98.60 (86.56),97.00 (84.88),99.00 (83.44),100.00 (87.38)
2 vs 4,87.81 (74.25),88.97 (72.90),76.51 (66.65),81.81 (73.40),2 vs 4,99.00 (89.12),96.70 (87.44),98.30 (88.75),100.00 (90.00)
2 vs 5,85.45 (77.95),90.29 (77.15),83.10 (73.80),85.30 (77.65),2 vs 5,98.60 (88.44),96.60 (86.62),97.40 (86.06),100.00 (89.12)
2 vs 6,91.45 (83.20),92.94 (81.65),83.16 (76.90),87.18 (82.25),2 vs 6,98.80 (88.62),97.00 (87.12),98.70 (86.12),100.00 (88.75)
2 vs 7,90.20 (83.95),93.66 (82.25),86.27 (79.85),89.27 (83.45),2 vs 7,99.60 (88.94),96.50 (86.75),99.20 (85.88),100.00 (89.44)
2 vs 8,97.29 (91.65),97.33 (90.65),91.70 (86.95),95.15 (91.75),2 vs 8,94.30 (81.88),95.80 (81.38),96.40 (82.94),100.00 (84.94)
2 vs 9,96.86 (91.80),97.24 (89.80),93.02 (89.35),94.95 (91.85),2 vs 9,84.60 (70.31),92.20 (70.50),96.60 (67.75),100.00 (69.88)
3 vs 4,92.30 (80.50),93.13 (79.40),85.92 (78.85),88.19 (80.55),3 vs 4,76.70 (68.94),90.00 (70.50),97.00 (66.88),100.00 (68.25)
3 vs 5,79.13 (65.20),74.02 (63.50),70.53 (62.60),76.88 (65.70),3 vs 5,66.80 (59.69),86.90 (60.25),97.30 (56.88),100.00 (58.94)
3 vs 6,85.67 (80.45),90.05 (79.50),83.38 (77.80),86.10 (80.65),3 vs 6,81.60 (70.62),93.50 (71.44),96.90 (69.38),100.00 (72.06)
3 vs 7,92.43 (83.10),95.59 (81.90),85.35 (79.25),89.64 (83.05),3 vs 7,77.60 (64.81),88.70 (65.81),95.90 (59.38),100.00 (63.38)
3 vs 8,95.55 (91.35),97.32 (89.65),92.25 (87.55),95.40 (91.45),3 vs 8,96.00 (89.44),96.80 (89.44),96.90 (88.31),100.00 (90.06)
3 vs 9,97.75 (90.25),96.82 (87.75),89.94 (84.55),93.94 (88.85),3 vs 9,93.10 (86.75),95.70 (84.88),97.90 (85.38),100.00 (87.62)
4 vs 5,91.36 (80.95),93.27 (78.20),85.42 (78.45),88.22 (80.15),4 vs 5,79.70 (68.62),91.50 (68.50),95.60 (68.75),100.00 (70.75)
4 vs 6,92.61 (82.05),93.63 (80.55),83.20 (76.20),87.62 (79.90),4 vs 6,76.80 (68.25),91.10 (71.38),96.40 (73.31),100.00 (77.06)
4 vs 7,90.97 (82.80),93.21 (80.90),84.64 (78.45),89.00 (82.70),4 vs 7,83.50 (71.19),92.20 (71.62),96.50 (68.19),100.00 (73.69)
4 vs 8,94.35 (91.40),95.86 (90.70),93.13 (88.65),95.15 (91.25),4 vs 8,97.50 (90.69),97.80 (90.75),97.70 (89.19),100.00 (91.62)
4 vs 9,97.67 (92.60),97.33 (90.55),93.21 (88.65),95.67 (92.60),4 vs 9,97.60 (88.00),97.00 (86.69),98.20 (87.44),100.00 (89.50)
5 vs 6,94.08 (84.20),93.14 (81.85),86.01 (80.30),89.55 (84.50),5 vs 6,78.30 (65.12),88.70 (65.50),96.10 (61.75),100.00 (66.69)
5 vs 7,90.73 (82.85),92.64 (80.80),84.78 (76.70),88.55 (82.80),5 vs 7,75.40 (62.94),90.50 (64.81),95.60 (59.88),100.00 (64.25)
5 vs 8,98.73 (92.05),97.65 (90.20),92.84 (88.50),96.59 (92.10),5 vs 8,94.50 (91.81),96.00 (91.44),97.90 (89.88),100.00 (91.56)
5 vs 9,96.77 (90.75),96.52 (89.00),91.59 (86.70),95.17 (91.00),5 vs 9,92.70 (87.06),95.60 (85.94),97.70 (87.00),100.00 (88.38)
6 vs 7,96.95 (91.30),97.60 (89.45),91.22 (86.40),94.39 (89.75),6 vs 7,83.00 (70.56),93.90 (70.81),96.60 (65.50),100.00 (72.62)
6 vs 8,98.33 (94.85),98.36 (93.95),96.16 (92.70),97.82 (95.05),6 vs 8,96.40 (91.50),98.40 (90.94),97.80 (90.12),100.00 (90.62)
6 vs 9,99.10 (93.25),97.89 (90.90),93.99 (90.15),96.69 (93.20),6 vs 9,95.70 (86.31),95.80 (85.69),97.10 (85.19),100.00 (87.25)
7 vs 8,97.79 (92.40),98.23 (90.95),93.97 (88.95),96.46 (92.55),7 vs 8,97.60 (91.62),97.50 (91.31),97.20 (89.94),100.00 (92.38)
7 vs 9,96.76 (89.50),96.28 (87.35),90.64 (85.70),93.84 (89.45),7 vs 9,95.10 (87.38),96.40 (86.69),97.10 (85.00),100.00 (89.50)
8 vs 9,95.52 (86.95),95.89 (86.10),90.46 (83.15),92.82 (87.10),8 vs 9,89.60 (74.31),94.80 (75.06),96.10 (75.94),100.00 (77.25)
